title,date,viewers,network,title_clean,viewers_millions,year
2002 Winter Olympics: Ski Jumping Men's K120 Individual (Adam Małysz's silver medal),13 February 2002,13259612,TVP1,2002 winter olympics: ski jumping men's k120 individual (adam małysz's silver medal),13.259612,2002.0
Funeral of President Lech Kaczyński and First Lady Maria Kaczyńska,18 April 2010,13033967,"TVP1, TVP2, TVP Info, Polsat, Polsat News, TVN, TVN 24 and others",funeral of president lech kaczyński and first lady maria kaczyńska,13.033967,2010.0
UEFA Euro 2016: Ukraine vs Poland (group stage),21 June 2016,12639308,"TVP1, Polsat, Polsat Sport",uefa euro 2016: ukraine vs poland (group stage),12.639308,2016.0
"Un, dos, tres... responda otra vez",1987,">20,000,000",La 1,"un, dos, tres... responda otra vez",20.0,1987.0
UEFA Euro 2012: Spain vs Portugal (penalties),27 June 2012,18141000,Telecinco,uefa euro 2012: spain vs portugal (penalties),18.141,2012.0
UEFA Euro 2012: Spain vs Portugal (extra time),27 June 2012,16485000,Telecinco,uefa euro 2012: spain vs portugal (extra time),16.485,2012.0
2010 FIFA World Cup final (extra time),11 July 2010,15600000,"Telecinco, Canal+",2010 fifa world cup final (extra time),15.6,2010.0
UEFA Euro 2012 final,1 July 2012,15481000,Telecinco,uefa euro 2012 final,15.481,2012.0
UEFA Euro 2008: Spain vs Italy (penalties),22 June 2008,15372000,Cuatro,uefa euro 2008: spain vs italy (penalties),15.372,2008.0
UEFA Euro 2008 final,29 June 2008,14482000,Cuatro,uefa euro 2008 final,14.482,2008.0
Eurovision Song Contest 2002 (voting),25 May 2002,14380000,La 1,eurovision song contest 2002 (voting),14.38,2002.0
UEFA Euro 2012: Croatia vs Spain,18 June 2012,14265000,Telecinco,uefa euro 2012: croatia vs spain,14.265,2012.0
UEFA Euro 2008: Spain vs Italy (extra time),22 June 2008,14131000,Cuatro,uefa euro 2008: spain vs italy (extra time),14.131,2008.0
UEFA Champions League: Barcelona vs Real Madrid,16 April 2011,14114000,"LaSexta, TV3, Telemadrid, TPA7, IB3",uefa champions league: barcelona vs real madrid,14.114,2011.0
UEFA Euro 2024 final,14 July 2024,13587000,La 1,uefa euro 2024 final,13.587,2024.0
UEFA Euro 2008 final (analysis),29 June 2008,13468000,Cuatro,uefa euro 2008 final (analysis),13.468,2008.0
UEFA Euro 2012: Spain vs Ireland,14 June 2012,13284000,Telecinco,uefa euro 2012: spain vs ireland,13.284,2012.0
Election debate 2008,25 February 2008,13043000,"La 1, Antena 3, Telecinco, LaSexta, FORTA",election debate 2008,13.043,2008.0
2010 FIFA World Cup final,11 July 2010,12969000,"Telecinco, Canal+",2010 fifa world cup final,12.969,2010.0
Operación Triunfo 1: Final,11 February 2002,12873000,La 1,operación triunfo 1: final,12.873,2002.0
UEFA Euro 2008: Russia vs Spain,26 June 2008,12870000,Cuatro,uefa euro 2008: russia vs spain,12.87,2008.0
UEFA Champions League: Barcelona vs Real Madrid,9 December 2011,12124000,"LaSexta, TV3, Telemadrid, TPA7, IB3",uefa champions league: barcelona vs real madrid,12.124,2011.0
Election debate 2011,7 November 2011,12005000,"La 1, Antena 3, Telecinco, LaSexta, FORTA",election debate 2011,12.005,2011.0
Election debate 2008,3 March 2008,11952000,"La 1, Antena 3, Telecinco, LaSexta, FORTA",election debate 2008,11.952,2008.0
1994 FIFA World Cup qualification: Spain vs Denmark,17 November 1993,11948000,La 1,1994 fifa world cup qualification: spain vs denmark,11.948,1993.0
Gran Hermano 1: La gran final,3 May 2000,11745000,Telecinco,gran hermano 1: la gran final,11.745,2000.0
UEFA Euro 2024: France vs Spain,9 July 2024,11568000,La 1,uefa euro 2024: france vs spain,11.568,2024.0
Cerrado por amistad,28 December 1995,11527000,Antena 3,cerrado por amistad,11.527,1995.0
UEFA Euro 2008: Spain vs Italy,22 June 2008,11501000,Cuatro,uefa euro 2008: spain vs italy,11.501,2008.0
2014 UEFA Champions League final,24 May 2014,11033000,"La 1, Canal+, TV3",2014 uefa champions league final,11.033,2014.0
Debate Tele 5,31 May 1993,10526000,Tele 5,debate tele 5,10.526,1993.0
Deb4te 2016,13 June 2016,10496000,"La 1, Antena 3, Telecinco, LaSexta, FORTA",deb4te 2016,10.496,2016.0
UEFA Euro 2008: Russia vs Spain (analysis),26 June 2008,9921000,Cuatro,uefa euro 2008: russia vs spain (analysis),9.921,2008.0
Eurovision Song Contest 1983,23 April,6.1,SVT1,eurovision song contest 1983,6.1,
Melodifestivalen 2000,10 March,4.175,SVT2,melodifestivalen 2000,4.175,
Melodifestivalen 2001,23 February,3.84,SVT1,melodifestivalen 2001,3.84,
Melodifestivalen 2002,1 March,3.72,SVT1,melodifestivalen 2002,3.72,
Melodifestivalen 2003,15 March,3.815,SVT1,melodifestivalen 2003,3.815,
Melodifestivalen 2004,20 March,4.105,SVT1,melodifestivalen 2004,4.105,
Melodifestivalen 2005,12 March,4.055,SVT1,melodifestivalen 2005,4.055,
Melodifestivalen 2006,18 March,4.24,SVT1,melodifestivalen 2006,4.24,
Melodifestivalen 2007,10 March,3.975,SVT1,melodifestivalen 2007,3.975,
Melodifestivalen 2008,15 March,4.045,SVT1,melodifestivalen 2008,4.045,
Melodifestivalen 2009,14 March,3.59,SVT1,melodifestivalen 2009,3.59,
Melodifestivalen 2010,13 March,3.87,SVT1,melodifestivalen 2010,3.87,
Melodifestivalen 2011,12 March,3.67,SVT1,melodifestivalen 2011,3.67,
Melodifestivalen 2012,10 March,4.11,SVT1,melodifestivalen 2012,4.11,
Melodifestivalen 2013,9 March,4.15,SVT1,melodifestivalen 2013,4.15,
Kalle Anka och hans vänner önskar god jul,24 December,3.705,SVT1,kalle anka och hans vänner önskar god jul,3.705,
Kalle Anka och hans vänner önskar god jul,24 December,3.786,SVT1,kalle anka och hans vänner önskar god jul,3.786,
Melodifestivalen 2019,14 March,3.652,SVT1,melodifestivalen 2019,3.652,
UEFA Euro 2000 final (FRA–ITA),2 July,2.34,SVT2,uefa euro 2000 final (fra–ita),2.34,
2001 World Men's Handball Championship final (FRA–SWE),4 February,2.635,TV4,2001 world men's handball championship final (fra–swe),2.635,
2002 European Men's Handball Championship final (SWE–GER),3 February,3.06,TV4,2002 european men's handball championship final (swe–ger),3.06,
2003 FIFA Women's World Cup final (GER–SWE),12 October,3.525,TV4,2003 fifa women's world cup final (ger–swe),3.525,
UEFA Euro 2004 (SWE–DEN),22 June,3.796,TV4,uefa euro 2004 (swe–den),3.796,
2005 World Championships in Athletics,7 August,4.055,TV4,2005 world championships in athletics,4.055,
2006 Men's Olympic Ice Hockey final (SWE–FIN),26 February,3.52,SVT2,2006 men's olympic ice hockey final (swe–fin),3.52,
FIS Alpine World Ski Championships 2007 – Women's slalom,16 February,2.23,SVT1,fis alpine world ski championships 2007 – women's slalom,2.23,
UEFA Euro 2008 (GRE–SWE),10 June,3.03,TV4,uefa euro 2008 (gre–swe),3.03,
2010 FIFA World Cup qualification – UEFA Group 1 (DEN–SWE),10 October,1.805,Kanal 5,2010 fifa world cup qualification – uefa group 1 (den–swe),1.805,
2010 FIFA World Cup final (NED–ESP),11 July,2.66,SVT1,2010 fifa world cup final (ned–esp),2.66,
2011 IIHF World Championship final (SWE–FIN),15 May,2.035,TV3,2011 iihf world championship final (swe–fin),2.035,
UEFA Euro 2012 (UKR–SWE),11 June,2.94,SVT1,uefa euro 2012 (ukr–swe),2.94,
2013 IIHF World Championship final (SWE–SUI),19 May,2.915,TV4,2013 iihf world championship final (swe–sui),2.915,
2014 FIFA World Cup (GER–ARG),13 July,2.81,TV4,2014 fifa world cup (ger–arg),2.81,
FIS Nordic World Ski Championships 2015,1 May,2.272,SVT1,fis nordic world ski championships 2015,2.272,
